Date : 2026-04-09 16:28:27
Directory : /Users/ebelthomasseiko/ClippedAI
Total : 165 files,  24621 codes, 598 comments, 1984 blanks, all 27203 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/FAQ.tsx                                     | TypeScript JSX     |         81 |          2 |          6 |         89 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/Hero.tsx                                    | TypeScript JSX     |        154 |         13 |         15 |        182 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/ScaleSection.tsx                            | TypeScript JSX     |         44 |          0 |          5 |         49 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/ui/AuthModal.tsx                                     | TypeScript JSX     |        106 |          9 |         16 |        131 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/ui/FloatingCTA.tsx                                   | TypeScript JSX     |         51 |          0 |          8 |         59 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/ui/HeroCarousel.tsx                                  | TypeScript JSX     |        163 |         13 |         18 |        194 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/login-form.tsx                                               | TypeScript JSX     |        128 |          0 |         10 |        138 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/providers/session-provider.tsx                               | TypeScript JSX     |          5 |          0 |          2 |          7 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/signup-form.tsx                                              | TypeScript JSX     |        133 |          0 |         11 |        144 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/alert-dialog.tsx                                          | TypeScript JSX     |        127 |          0 |         15 |        142 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/alert.tsx                                                 | TypeScript JSX     |         60 |          0 |          7 |         67 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/avatar.tsx                                                | TypeScript JSX     |         47 |          0 |          7 |         54 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/badge.tsx                                                 | TypeScript JSX     |         41 |          0 |          6 |         47 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/button.tsx                                                | TypeScript JSX     |         55 |          0 |          6 |         61 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/card.tsx                                                  | TypeScript JSX     |         47 |          0 |         10 |         57 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/checkbox.tsx                                              | TypeScript JSX     |         28 |          0 |          5 |         33 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/dropdown-menu.tsx                                         | TypeScript JSX     |        239 |          0 |         19 |        258 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/input.tsx                                                 | TypeScript JSX     |         18 |          0 |          4 |         22 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/label.tsx                                                 | TypeScript JSX     |         20 |          0 |          5 |         25 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/popover.tsx                                               | TypeScript JSX     |         79 |          0 |         11 |         90 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/progress.tsx                                              | TypeScript JSX     |         27 |          0 |          5 |         32 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/select.tsx                                                | TypeScript JSX     |        172 |          0 |         14 |        186 |
| /Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/separator.tsx                                             | TypeScript JSX     |         24 |          0 |          5 |         29 |
