"filename", "language", "YAML", "Properties", "Markdown", "Python", "TypeScript", "JSON with Comments", "Shell Script", "Docker", "pip requirements", "JSON", "JavaScript", "XML", "TypeScript JSX", "CSS", "MS SQL", "comment", "blank", "total"
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/grid-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/infinite-marquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 10, 116
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/moving-border-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/cta-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 6, 35
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/features-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 5, 105
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/footer-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 6, 70
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/hero-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 1, 8, 51
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/how-it-works.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 2, 9, 79
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/social-proof.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/sections/stats-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/spotlight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 2, 44
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v2/text-generate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 5, 60
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v3/interactive-hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 469, 0, 0, 14, 39, 522
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v3/kinetic-typography.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 3, 13, 63
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v3/sticky-narrative.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 23, 26, 215
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing-v3/void-cta.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 3, 13, 80
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/animations/FadeIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/animations/ScrollReveal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 5, 55
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/animations/SharedLayoutProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/layout/CookieBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 8, 68
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/layout/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 3, 9, 102
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/layout/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 0, 0, 6, 18, 251
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/AIEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 3, 8, 93
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/Autopilot.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 5, 6, 58
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/CTASection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 2, 7, 85
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/ClipAnything.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 7, 8, 81
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/FAQ.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 2, 6, 89
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 13, 15, 182
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/sections/ScaleSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 5, 49
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/ui/AuthModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 9, 16, 131
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/ui/FloatingCTA.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 8, 59
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/landing/ui/HeroCarousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 13, 18, 194
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/login-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 10, 138
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/providers/session-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/signup-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 11, 144
"/Users/ebelthomasseiko/ClippedAI/frontend/src/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 15, 142
